ID,חברה,מס' אתר,עיר,כתובת האתר,רשות מקומית,תחום שיפוט,X_ITM,Y_ITM,סוג אתר,תאריך היתר הקמה,תאריך היתר הפעלה,בדיקה תקופתית אחרונה,היתר קרינה,עוצמה מרבית תיאורטית בµW לסמר,תוצאה מירבית ב% ביחס לסף הבריאות,תאור נקודה בה התקבלה תוצאה מירבית,טכנולוגיית שידור
146,PHI (משרת את הוט ופרטנר),WI0785B,חולון,בפינת הרחובות פרופסור שור והנפח,עירית חולון,חולון,180717,658695,אתר זעיר פנימי,15/02/2018,14/08/2023,02/08/2023,יש היתר,26.5,5.39,במפלס הרצפה מול אנטנת פנל במרחק 0.5 מטר,דור  3
8134,פלאפון,120170,שטח ללא שיפוט,הר גריזים,שטח ללא שיפוט,שטח ללא שיפוט,226072,679415,תורן קרקעי,30/01/2023,08/10/2023,02/10/2023,יש היתר,53.6,7.922,בעמדת שמירה מול אנטנות 1 & 2  כ- 80 מטר מזרחה,דור 3 4 5
8282,פלאפון,610514,כפר סאלד,ליד הלולים,גליל עליון,הגליל העליון,261363,788579,תורן קרקעי,14/08/2023,29/10/2023,02/10/2023,יש היתר,15.6,2.414,במבנה לולים קרקע במרחק 102 מטר ובכיוון 165°,דור 3 4
8020,סלקום,1166,כפר סילבר,כפר סילבר,חוף אשקלון,חוף אשקלון,163757,621102,תורן קרקעי,21/08/2023,29/11/2023,02/10/2023,יש היתר,.0,0,אין אזור מאוכלס ברציפות,דור 2 3 4 5
6034,סלקום,2527,גונן,עמק החולה ליד קיבוץ גונן,הגליל העליון,הגליל העליון,258931,781571,תורן קרקעי,19/02/2019,30/05/2021,02/10/2023,יש היתר,1.2,0.29,במבנה חד קומתי קרקע,דור 2 3 4
7893,פלאפון,730078,תמר,מלון שרתון מוריה,תמר,תמר,235051,564530,אתר זעיר פנימי,21/12/2023,06/11/2023,02/11/2023,יש היתר,21.2,4.359,בקומה לובי   A49  ליד מדרגות,דור 3 4
3989,סלקום,21981,טלמון,בין הישוב טלמון א` לישוב טלמון ב`,מטה בנימין,מטה בנימין,212593,651077,תורן קרקעי,11/07/2017,04/05/2021,03/01/2023,יש היתר,8.0,1.254,בבית ספר - קומה 1,דור 2 3 4
4934,פלאפון,210484,ירושלים,אגריפס 40,ירושלים,ירושלים,220520,632382,אתר זעיר פנימי,10/02/2014,15/01/2023,03/01/2023,יש היתר,28.4,4.607,במפלס הרצפה מול אנטנת פנל במרחק 1 מטר ממנה,דור 3
3961,סלקום,4971,ירושלים,רח` האומן 17,ירושלים,ירושלים,219864,628704,אתר זעיר פנימי,14/03/2022,15/01/2023,03/01/2023,יש היתר,27.2,5.54,רצפה,דור 2 3 4
4074,פלאפון,210121,ירושלים,האומן 17,ירושלים,ירושלים,219944,628764,אתר זעיר פנימי,14/03/2022,15/01/2023,03/01/2023,יש היתר,27.1,5.47,במפלס הרצפה מול אנטנה כלל כיוונית במרחק 0.6 מטר ממנה.,דור 3
4083,פלאפון,210148,ירושלים,ירושלים,ירושלים,ירושלים,217979,632593,אתר זעיר פנימי,15/03/2012,15/01/2023,03/01/2023,יש היתר,38.5,6.905,רמה זו צפויה במפלס הרצפה מול אנטנת פנל במרחק 0.7 מטר ממנה,דור 3
4473,סלקום,22207,ירושלים,דרך שלוה 1 ירושלים,ירושלים,ירושלים,217838,630543,אתר זעיר פנימי,09/02/2022,18/05/2023,03/01/2023,יש היתר,23.8,4.733,במפלס הרצפה,דור 3 4
6549,פלאפון,310051,תל אביב,רוזנבלום,תל אביב יפו,תל אביב יפו,180613,671904,אתר זעיר פנימי,11/01/2011,19/01/2023,03/01/2023,יש היתר,9.1,1.929,מול אנטנה כלל כיוונית במרחק 0.5 מטר ממנה.,דור 3
6548,פלאפון,310039,תל אביב,יונצמן 21 מלון מנדרין,תל אביב יפו,תל אביב יפו,180698,672358,אתר זעיר פנימי,04/08/2015,19/01/2023,03/01/2023,יש היתר,10.9,1.951,במפלס הרצפה,דור 3
5115,סלקום,352,מבוא דותן,בסמוך לבריכה,שומרון,שומרון,217323,703005,תורן קרקעי,26/04/2021,21/06/2023,03/01/2023,יש היתר,5.0,0.728,גג מגדל מים,דור 2 3 4
1925,PHI (משרת את הוט ופרטנר),EI2370C,ירושלים,דרך שלווה 1,עירית ירושלים,ירושלים,217917,630547,אתר זעיר פנימי,27/08/2025,26/01/2023,03/01/2023,יש היתר,7.5,0.8,במפלס הרצפה מול אנטנת פנל במרחק 0.5 מטר,דור  3 4
8355,פלאפון,924864,עמק חפר,מחלף בית ינאי,עמק חפר,עמק חפר,187702,699202,תורן קרקעי,08/07/2025,14/03/2023,03/02/2023,יש היתר,.0,0,אין אזור מאוכלס ברציפות,דור 3 4
2994,סלקום,1391,חדרה,"אזה""ת עמק חפר מזרחית לכביש מספר 4",חדרה,חדרה,191258,701282,תורן קרקעי,21/03/2021,01/08/2023,03/03/2023,יש היתר,.0,0,אין אזור מאוכלס ברציפות,דור 2 3 4 5
6445,סלקום,6869,רמת גן,מנחם בגין 11,רמת גן,רמת גן,181316,666000,אתר זעיר פנימי,14/02/2022,05/09/2023,03/04/2023,יש היתר,29.0,5.62,רצפה,דור 4
7418,פלאפון,530752,רמת גן,מנחם בגין 11,רמת גן,רמת גן,181297,665947,אתר זעיר פנימי,17/02/2022,16/04/2023,03/04/2023,יש היתר,35.1,5.568,במפלס הרצפה,דור 3 4
